'5.6_millimetres' | structural violation
coat_closet -> wardrobe -> closet | semantic abstraction jump
coat_closet -> wardrobe -> closet -> where_hang_up_clothes | semantic abstraction jump
coat_closet -> wardrobe -> closet -> where_hang_up_clothes | semantic abstraction jump
coat_of_paint -> paint -> pigment -> coloring_material | semantic abstraction jump
coat_of_paint -> paint -> coating -> decorativeness | edge semantic failure
coat_of_paint -> coating -> decorativeness | edge semantic failure
needed_when_cold_outside | structural violation
coauthor -> writer -> author | semantic abstraction jump
also | structural violation
cobalt -> unalloyed_metal -> metal | semantic abstraction jump
cobalt_iii_ion -> atomic_ion -> ion | semantic abstraction jump
creator_and_fixer_of_shoes | structural violation
mine_spirit_in_celtic_lore | structural violation
progframming_language | structural violation
widely_in_use | structural violation
coca_cola_classic -> coca_cola -> cola -> soft_drink_flavored -> soft_drink | semantic abstraction jump
coca_cola_classic -> coca_cola -> cola -> soft_drink_flavored -> soft_drink -> beverage | semantic abstraction jump
coca_cola_classic -> coca_cola -> cola -> soft_drink_flavored -> soft_drink -> carbonated_beverage | semantic abstraction jump
coca_cola_classic -> coca_cola -> cola -> soft_drink_flavored -> soft_drink -> carbonated_beverage -> beverage | semantic abstraction jump
cola -> soft_drink -> beverage | semantic abstraction jump
cola -> soft_drink -> carbonated | edge semantic failure
cola -> soft_drink -> carbonated | edge semantic failure
cola -> soft_drink -> carbonated_beverage -> beverage | semantic abstraction jump
cola -> soft_drink -> carbonated_beverage -> beverage -> liquid | semantic abstraction jump
cola -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
cola -> soft_drink -> carbonated_beverage -> beverage -> liquid -> substance | semantic abstraction jump
cola -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
cola -> soft_drink -> beverage -> liquid | semantic abstraction jump
cola -> soft_drink -> beverage -> liquid -> fluid | semantic abstraction jump
cola -> soft_drink -> beverage -> liquid -> substance | semantic abstraction jump
cola -> soft_drink -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> beverage | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> carbonated_beverage | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> carbonated | edge semantic failure
cola -> soft_drink_flavored -> soft_drink -> carbonated | edge semantic failure
cola -> soft_drink_flavored -> soft_drink -> carbonated_beverage -> beverage | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> carbonated_beverage -> beverage -> liquid | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> carbonated_beverage -> beverage -> liquid -> substance | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> beverage -> liquid | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> beverage -> liquid -> fluid | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> beverage -> liquid -> substance | semantic abstraction jump
cola -> soft_drink_flavored -> soft_drink -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
good_soft_drink | structural violation
hard_drug -> narcotic -> addictive_substance | semantic abstraction jump
hard_drug -> narcotic -> drug | semantic abstraction jump
hard_drug -> narcotic -> psychoactive_drug | semantic abstraction jump
hard_drug -> narcotic -> psychoactive_drug -> drug | semantic abstraction jump
hard_drug -> narcotic -> psychoactive_drug -> medicine | semantic abstraction jump
hard_drug -> narcotic -> psychoactive_drug -> toxic_substance | semantic abstraction jump
hard_drug -> narcotic -> psychoactive_drug -> medicine -> drug | semantic abstraction jump
hard_drug -> narcotic -> medicine -> drug | semantic abstraction jump
hard_drug -> narcotic -> addictive_substance -> medicine | edge semantic failure
hard_drug -> narcotic -> addictive_substance -> medicine -> drug | edge semantic failure
hard_drug -> controlled_substance -> drug | semantic abstraction jump
snorted | structural violation
ssnorted_through_nose | structural violation
cocarboxylase -> coenzyme -> chemical_compound | edge semantic failure
coccus -> eubacteria -> bacteria | semantic abstraction jump
coccus -> eubacteria -> common_bacteria | semantic abstraction jump
coccus -> eubacteria -> common_bacteria | semantic abstraction jump
coccygeal_plexus -> nerve_plexus -> plexus | semantic abstraction jump
cochair | structural violation
wind_egg | structural violation
cock -> chicken -> poultry -> bird | semantic abstraction jump
cock -> chicken -> poultry -> bird -> animal | semantic abstraction jump
melolonthid_beetle -> scarabaeid_beetle -> lamellicorn_beetle | semantic abstraction jump
melolonthid_beetle -> scarabaeid_beetle -> lamellicorn_beetle -> beetle | semantic abstraction jump
melolonthid_beetle -> scarabaeid_beetle -> lamellicorn_beetle -> beetle -> insect | semantic abstraction jump
rooster -> chicken -> domestic_fowl | edge semantic failure
rooster -> chicken -> poultry -> bird -> eagle -> animal | edge semantic failure
rooster -> chicken -> poultry -> bird -> eagle -> raptor | edge semantic failure
rooster -> chicken -> poultry -> bird -> eagle -> raptor -> animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> bird | edge semantic failure
rooster -> chicken -> domestic_fowl -> gallinaceous_bird | edge semantic failure
rooster -> chicken -> domestic_fowl -> gallinaceous_bird -> bird | edge semantic failure
rooster -> chicken -> domestic_fowl -> gallinaceous_bird -> bird -> animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> gallinaceous_bird -> bird -> eagle | edge semantic failure
rooster -> chicken -> domestic_fowl -> gallinaceous_bird -> bird -> feathered_animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> gallinaceous_bird -> bird -> feathered_animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> gallinaceous_bird -> bird -> eagle -> animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> gallinaceous_bird -> bird -> eagle -> raptor | edge semantic failure
rooster -> chicken -> domestic_fowl -> bird -> animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> bird -> eagle | edge semantic failure
rooster -> chicken -> domestic_fowl -> bird -> feathered_animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> bird -> feathered_animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> bird -> eagle -> animal | edge semantic failure
rooster -> chicken -> domestic_fowl -> bird -> eagle -> raptor | edge semantic failure
rooster -> chicken -> domestic_fowl -> bird -> eagle -> raptor -> animal | edge semantic failure
rooster -> chicken -> bird -> eagle -> animal | edge semantic failure
rooster -> chicken -> bird -> eagle -> raptor | edge semantic failure
rooster -> chicken -> bird -> eagle -> raptor -> animal | edge semantic failure
male_chicken | structural violation
penis -> male_body_part -> male -> sex | semantic abstraction jump
cockroaches -> insects -> bugs -> pests | semantic abstraction jump
cockroaches -> insects -> bugs -> pests | semantic abstraction jump
cocktail_dress -> dress -> garment -> article_of_dress | semantic abstraction jump
cocktail_dress -> dress -> garment -> article_of_dress | semantic abstraction jump
turán_graph | structural violation
mixed_drink -> alcohol -> fermented_beverage -> beverage | semantic abstraction jump
mixed_drink -> alcohol -> fermented_beverage -> beverage -> food_and_drink | semantic abstraction jump
mixed_drink -> alcohol -> fermented_beverage -> beverage -> liquid | semantic abstraction jump
mixed_drink -> alcohol -> fermented_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
mixed_drink -> alcohol -> fermented_beverage -> beverage -> food_and_drink -> food_drink_and_ingredient | semantic abstraction jump
mixed_drink -> alcohol -> beverage -> food_and_drink -> food_drink_and_ingredient | semantic abstraction jump
mixed_drink -> alcoholic_beverage -> mixture | edge semantic failure
mixed_drink -> alcoholic_beverage -> beverage -> food_and_drink -> food_drink_and_ingredient | semantic abstraction jump
cocoa_plum -> edible_fruit -> fruit | semantic abstraction jump
nice_food | structural violation
coconut_palm -> palm_tree -> palm | semantic abstraction jump
toddy_palm | structural violation
demersal_fish | structural violation
code_analysis_constant | structural violation
system_of_moral_rules | structural violation
decoding_program -> file_translation_program -> utility_program | edge semantic failure
decoding_program -> file_translation_program -> utility_program -> program | edge semantic failure
encoding_program -> file_translation_program -> utility_program | edge semantic failure
encoding_program -> file_translation_program -> utility_program -> application_program | edge semantic failure
encoding_program -> file_translation_program -> utility_program -> program | edge semantic failure
encoding_program -> file_translation_program -> utility_program -> application_program -> computer_program | edge semantic failure
encoding_program -> file_translation_program -> utility_program -> application_program -> computer_program -> program | edge semantic failure
derivative_of_morphine | structural violation
opiate -> opioid -> analgesic -> medicine -> drug | semantic abstraction jump
opiate -> opioid_drug -> opioid -> analgesic -> medicine -> drug | semantic abstraction jump
opiate -> opioid_drug -> narcotic -> drug | semantic abstraction jump
opiate -> opioid_drug -> narcotic -> psychoactive_drug -> drug | semantic abstraction jump
opiate -> opioid_drug -> narcotic -> psychoactive_drug -> medicine -> drug | semantic abstraction jump
opiate -> opioid_drug -> narcotic -> medicine -> drug | semantic abstraction jump
opiate -> opioid_drug -> narcotic -> analgesic -> medicine -> drug | semantic abstraction jump
opiate -> opioid_drug -> narcotic -> addictive_substance -> medicine | edge semantic failure
opiate -> opioid_drug -> narcotic -> addictive_substance -> medicine -> drug | edge semantic failure
opiate -> opioid_drug -> analgesic -> medicine -> drug | semantic abstraction jump
opiate -> narcotic -> drug | semantic abstraction jump
opiate -> narcotic -> psychoactive_drug -> drug | semantic abstraction jump
opiate -> narcotic -> psychoactive_drug -> medicine -> drug | semantic abstraction jump
opiate -> narcotic -> medicine -> drug | semantic abstraction jump
opiate -> narcotic -> analgesic -> medicine -> drug | semantic abstraction jump
opiate -> narcotic -> addictive_substance -> medicine | edge semantic failure
opiate -> narcotic -> addictive_substance -> medicine -> drug | edge semantic failure
manuscript -> book -> publication | semantic abstraction jump
codfish -> edible_fish -> fish | semantic abstraction jump
codfish -> edible_fish -> fish -> aquatic_animal | semantic abstraction jump
codfish -> edible_fish -> fish -> aquatic_organism | semantic abstraction jump
codfish -> edible_fish -> fish -> aquatic_vertebrate | semantic abstraction jump
codfish -> edible_fish -> fish -> fishy_odor | semantic abstraction jump
codfish -> edible_fish -> fish -> seafood | semantic abstraction jump
codfish -> edible_fish -> fish -> aquatic_animal | semantic abstraction jump
old_man -> oldster -> adult | edge semantic failure
old_man -> man -> adult | edge semantic failure
old_man -> man -> human_adult | edge semantic failure
old_man -> man -> human_adult -> adult | edge semantic failure
coding -> prefix_coding -> elias_gamma_coding | edge semantic failure
coding -> prefix_coding -> elias_omega_coding | edge semantic failure
coding -> prefix_coding -> fibonacci_coding | edge semantic failure
coding -> prefix_coding -> shannon_fano_coding | edge semantic failure
coding -> prefix_coding -> unary_coding | semantic abstraction jump
coding -> prefix_coding -> unary_coding | semantic abstraction jump
coding -> prefix_coding -> shannon_fano_coding | edge semantic failure
coding -> prefix_coding -> fibonacci_coding | edge semantic failure
coding -> prefix_coding -> elias_omega_coding | edge semantic failure
coding -> prefix_coding -> elias_gamma_coding | edge semantic failure
polynucleotide_segment -> polynucleotide_strand -> polynucleotide | semantic abstraction jump
polynucleotide_segment -> polynucleotide_strand -> polynucleotide -> nucleotide | semantic abstraction jump
modulus -> absolute_value -> euclidean_norm | edge semantic failure
coffe_crasher | structural violation
kitchen_appliance -> home_appliance -> appliance | semantic abstraction jump
device_for_making_coffee | structural violation
coffee_table -> table -> piece_of_furniture | edge semantic failure
coffee_table -> table -> piece_of_furniture | edge semantic failure
small_type_of_table | structural violation
lighter_than_coffee_without_milk | structural violation
breakfast_beverage | structural violation
bushy_plant | structural violation
good_after_dinner_drink | structural violation
gooooooooooooooood | structural violation
hot_beverage | structural violation
low_margin_product | structural violation
made_using_hot_water | structural violation
made_using_water_and_coffee_beans | structural violation
popular_drink | structural violation
popular_morning_drink | structural violation
refreshing_and_stimulating_beverage | structural violation
tasty_drink | structural violation
popular_beverage | structural violation
watertight_enclosure | structural violation
mental_predicate -> agent_predicate -> extensional_representation_predicate -> predicate | semantic abstraction jump
cognitive_awareness_predicate -> binary_predicate -> predicate | semantic abstraction jump
gruelling | structural violation
issue_related | structural violation
constructive_logic | structural violation
cohesin_molecule -> protein_molecule -> molecule | semantic abstraction jump
cohesin_molecule -> protein_molecule -> organic_molecule -> molecule | semantic abstraction jump
cohune_palm -> feather_palm -> palm | semantic abstraction jump
helical | structural violation
small_bag_in | structural violation
small_purse | structural violation
metal_disc | structural violation
piece_of_currency | structural violation
piece_of_monet | structural violation
piece_of_money | structural violation
denser_than_dollar_bills | structural violation
in_mint_condition | structural violation
small_metal_disk | structural violation
noisier_than_bills | structural violation
small_metal_disks | structural violation
black_liquid | structural violation
coke -> soft_drink -> beverage | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage | semantic abstraction jump
coke -> soft_drink -> carbonated | edge semantic failure
coke -> soft_drink -> carbonated | edge semantic failure
coke -> soft_drink -> carbonated_beverage -> beverage | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage -> beverage -> food | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage -> beverage -> liquid | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage -> beverage -> liquid -> substance | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage -> beverage -> food -> fuel | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage -> beverage -> food -> substance | semantic abstraction jump
coke -> soft_drink -> carbonated_beverage -> beverage -> food -> fuel -> substance | semantic abstraction jump
coke -> soft_drink -> beverage -> food | semantic abstraction jump
coke -> soft_drink -> beverage -> liquid | semantic abstraction jump
coke -> soft_drink -> beverage -> liquid -> fluid | semantic abstraction jump
coke -> soft_drink -> beverage -> liquid -> substance | semantic abstraction jump
coke -> soft_drink -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
coke -> soft_drink -> beverage -> food -> fuel | semantic abstraction jump
coke -> soft_drink -> beverage -> food -> substance | semantic abstraction jump
coke -> soft_drink -> beverage -> food -> fuel -> substance | semantic abstraction jump
coke -> soda -> soft_drink -> beverage | semantic abstraction jump
coke -> soda -> soft_drink -> carbonated_beverage | semantic abstraction jump
coke -> soda -> soft_drink -> carbonated | edge semantic failure
coke -> soda -> soft_drink -> carbonated | edge semantic failure
coke -> soda -> soft_drink -> carbonated_beverage -> beverage | semantic abstraction jump
coke -> soda -> soft_drink -> carbonated_beverage -> beverage -> food | semantic abstraction jump
coke -> soda -> soft_drink -> carbonated_beverage -> beverage -> liquid | semantic abstraction jump
coke -> soda -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
coke -> soda -> soft_drink -> carbonated_beverage -> beverage -> liquid -> substance | semantic abstraction jump
coke -> soda -> soft_drink -> carbonated_beverage -> beverage -> food -> fuel | semantic abstraction jump
coke -> soda -> soft_drink -> carbonated_beverage -> beverage -> food -> substance | semantic abstraction jump
coke -> soda -> soft_drink -> beverage -> food | semantic abstraction jump
coke -> soda -> soft_drink -> beverage -> liquid | semantic abstraction jump
coke -> soda -> soft_drink -> beverage -> liquid -> fluid | semantic abstraction jump
coke -> soda -> soft_drink -> beverage -> liquid -> substance | semantic abstraction jump
coke -> soda -> soft_drink -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
coke -> soda -> soft_drink -> beverage -> food -> fuel | semantic abstraction jump
coke -> soda -> soft_drink -> beverage -> food -> substance | semantic abstraction jump
coke -> soda -> soft_drink -> beverage -> food -> fuel -> substance | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> carbonated_beverage | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> carbonated | edge semantic failure
coke -> fizzy_drink -> soft_drink -> carbonated | edge semantic failure
coke -> fizzy_drink -> soft_drink -> carbonated_beverage -> beverage | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> carbonated_beverage -> beverage -> food | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> carbonated_beverage -> beverage -> liquid | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> carbonated_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> carbonated_beverage -> beverage -> liquid -> substance | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> carbonated_beverage -> beverage -> food -> fuel | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> carbonated_beverage -> beverage -> food -> substance | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage -> food | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage -> liquid | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage -> liquid -> fluid | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage -> liquid -> substance | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage -> food -> fuel | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage -> food -> substance | semantic abstraction jump
coke -> fizzy_drink -> soft_drink -> beverage -> food -> fuel -> substance | semantic abstraction jump
coke -> cocaine -> stimulant -> drug | semantic abstraction jump
coke -> cocaine -> stimulant -> drug -> chemical_substance | semantic abstraction jump
coke -> cocaine -> stimulant -> drug -> chemical | semantic abstraction jump
coke -> cocaine -> stimulant -> drug -> chemical_substance | semantic abstraction jump
fizzy_drink -> soft_drink -> carbonated | edge semantic failure
fizzy_drink -> soft_drink -> carbonated | edge semantic failure
softdrink | structural violation
carbonated_drink | structural violation
sweet_brown_carbonated_drinks | structural violation
uncomfortable_places | structural violation
warmer_than_warm_beer | structural violation
alway_cold_to_touch | structural violation
cold_front -> front -> weather | edge semantic failure
cold_medium -> medium -> liquid | edge semantic failure
cold_season -> season -> weather | edge semantic failure
cold_spring -> spring -> warm_season -> season -> weather | edge semantic failure
cold_spring -> spring -> season -> weather | edge semantic failure
not_hot_water | structural violation
cause_by_virus | structural violation
discription_of_temperature | structural violation
mild_illness | structural violation
brand_of_camping_lantern | structural violation
annual_plants | structural violation
tough_competitor | structural violation
coling_conference -> computer_science_conference -> scientific_conference | semantic abstraction jump
coling_conference -> computer_science_conference -> scientific_conference -> conference | semantic abstraction jump
coling_conference -> computer_science_conference -> scientific_conference -> conference -> meeting | semantic abstraction jump
coling_conference -> computer_science_conference -> scientific_conference -> conference -> meeting -> gathering | semantic abstraction jump
large_structure | structural violation
colitis -> inflammation -> illness | edge semantic failure
collaborationism -> cooperating -> group_activity | edge semantic failure
collage_film -> movie -> another_word_for_film | semantic abstraction jump
collage_film -> movie -> film | semantic abstraction jump
collage_film -> movie -> film -> another_word_for_movie | semantic abstraction jump
collage_film -> movie -> film -> another_word_for_movie | semantic abstraction jump
collage_film -> movie -> another_word_for_film | semantic abstraction jump
eukaryotic_protein_synthesis -> cellular_protein_synthesis -> chemical_synthesis -> physical_synthesis -> synthesis | semantic abstraction jump
eukaryotic_protein_synthesis -> cellular_protein_synthesis -> biochemical_synthesis -> chemical_synthesis -> physical_synthesis -> synthesis | semantic abstraction jump
fibrous_protein | structural violation
found_only_in_animals | structural violation
skin_protein | structural violation
collar_bomb -> homemade_bomb -> bomb | semantic abstraction jump
collar_bomb -> homemade_bomb -> bomb -> explosive_device | semantic abstraction jump
collar_bomb -> homemade_bomb -> bomb -> explosive | semantic abstraction jump
collared_crow -> crow -> corvine_bird | edge semantic failure
collared_falconet -> bird -> feathered_animal | semantic abstraction jump
collared_falconet -> bird -> feathered_animal | semantic abstraction jump
collared_flycatcher -> bird -> feathered_animal | semantic abstraction jump
collared_flycatcher -> bird -> feathered_animal | semantic abstraction jump
collared_sparrowhawk -> bird -> eagle -> large_bird_of_prey | edge semantic failure
collared_sparrowhawk -> bird -> eagle -> large_bird_of_prey | edge semantic failure
collared_sparrowhawk -> bird_of_prey -> bird -> eagle -> large_bird_of_prey | edge semantic failure
collared_sparrowhawk -> bird_of_prey -> bird -> eagle -> large_bird_of_prey | edge semantic failure
fatal_accident -> fatality -> death -> medical_procedure_or_event | edge semantic failure
colleague -> associate -> peer | edge semantic failure
colleague -> associate -> subordinate | edge semantic failure
colleague -> associate -> subordinate -> assistant | edge semantic failure
colleague -> associate -> subordinate -> assistant -> worker | edge semantic failure
colleague -> associate -> subordinate -> assistant -> worker -> person | edge semantic failure
colleague -> associate -> subordinate -> assistant -> worker -> person -> human | edge semantic failure
colleague -> associate -> subordinate -> assistant -> worker -> person -> individual | edge semantic failure
colleague -> associate -> peer -> nobleman | edge semantic failure
colleague -> associate -> peer -> person | edge semantic failure
colleague -> associate -> peer -> person -> human | edge semantic failure
colleague -> associate -> peer -> person -> individual | edge semantic failure
work_with | structural violation
collection_relating_function -> function -> relation | edge semantic failure
collection_salient_attribute_predicate -> binary_predicate -> predicate | semantic abstraction jump
collectively_managed_fund_organization -> investment_group -> financial_organization | semantic abstraction jump
collectively_managed_fund_organization -> investment_group -> financial_organization -> organization | semantic abstraction jump
investment_group -> financial_organization -> organization -> social_group -> group | semantic abstraction jump
college_baseball_team -> mens_sports_team -> sports_team | semantic abstraction jump
college_baseball_team -> mens_sports_team -> sports_team -> athlete_or_sports_team | semantic abstraction jump
college_baseball_team -> mens_sports_team -> sports_team -> sports_organization | semantic abstraction jump
college_baseball_team -> mens_sports_team -> sports_team -> team | semantic abstraction jump
college_sports_team -> amateur_sports_team -> sports_team | semantic abstraction jump
college_sports_team -> amateur_sports_team -> sports_team -> athlete_or_sports_team | semantic abstraction jump
college_sports_team -> amateur_sports_team -> sports_team -> sports_organization | semantic abstraction jump
college_sports_team -> amateur_sports_team -> sports_team -> team | semantic abstraction jump
college_basketball_team -> college_sports_team -> amateur_sports_team -> sports_team | semantic abstraction jump
college_basketball_team -> college_sports_team -> amateur_sports_team -> sports_team -> athlete_or_sports_team | semantic abstraction jump
college_basketball_team -> college_sports_team -> amateur_sports_team -> sports_team -> sports_organization | semantic abstraction jump
college_basketball_team -> college_sports_team -> amateur_sports_team -> sports_team -> team | semantic abstraction jump
college_campus -> school_campus -> campus | semantic abstraction jump
football_game -> time_limited_sporting_event -> game_event | semantic abstraction jump
student_organization -> organization_of_people -> organization | semantic abstraction jump
student_organization -> organization_of_people -> organization -> social_group | semantic abstraction jump
student_organization -> organization_of_people -> organization -> social_group -> group | semantic abstraction jump
smarter_than_elementary_school_students | structural violation
assigned_problem_sets | structural violation
student_attending_college | structural violation
place_of_learning | structural violation
place_to_learn | structural violation
place_where_learn_things | structural violation
both_places_where_education_occurs | structural violation
colliding_with_obstacle -> colliding -> barrier_situation_physical_force | edge semantic failure
collie -> shepherd_dog -> working_dog -> dog | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> canine | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> domestic_animal | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> domesticated_canine | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> mammal | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> pet | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> pet -> animal | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> mammal -> animal | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> domesticated_canine | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> domestic_animal -> animal | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> canine -> animal | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> canine -> mammal | semantic abstraction jump
collie -> shepherd_dog -> working_dog -> dog -> canine -> mammal -> animal | semantic abstraction jump
collie -> dog -> mammal -> animal | semantic abstraction jump
collie -> dog -> domestic_animal -> animal | semantic abstraction jump
collie -> dog -> canine -> mammal -> animal | semantic abstraction jump
collision -> accident -> physical_event | edge semantic failure
colloidal_gel -> gel -> colloid | edge semantic failure
proctologist -> specialist -> doctor -> scholar | edge semantic failure
proctologist -> specialist -> doctor -> licensed_professional -> professional | semantic abstraction jump
proctologist -> doctor -> scholar | edge semantic failure
proctologist -> doctor -> licensed_professional -> professional | semantic abstraction jump
colocasia -> plant -> archaeplastida | edge semantic failure
cycling_team | structural violation
colombian_citizen -> colombian -> south_american -> person_with_nationality | edge semantic failure
colombian -> south_american -> person_with_nationality | edge semantic failure
colombian -> south_american -> american -> north_american -> person_with_nationality | edge semantic failure
colombian_man -> colombian -> south_american -> person_with_nationality | edge semantic failure
colombian_man -> colombian -> south_american -> person | edge semantic failure
colombian_man -> colombian -> south_american -> person -> human | edge semantic failure
colombian_man -> colombian -> south_american -> person_with_nationality -> human | edge semantic failure
colombian_man -> colombian -> south_american -> person_with_nationality -> person | edge semantic failure
colombian_man -> colombian -> south_american -> person_with_nationality -> person -> human | edge semantic failure
colombian_man -> colombian -> south_american -> person_with_nationality -> human -> person | edge semantic failure
colombian_man -> colombian -> person_with_nationality -> human | edge semantic failure
colombian_man -> colombian -> person_with_nationality -> human -> person | edge semantic failure
colombian_soldier -> colombian -> south_american -> person_with_nationality | edge semantic failure
colombian_weasel -> weasel -> musteline_mammal | edge semantic failure
colombian_woman -> colombian -> south_american -> person_with_nationality | edge semantic failure
colon_cancer -> carcinoma -> cancer | semantic abstraction jump
colon_cancer -> carcinoma -> cancer -> malignant_tumor | semantic abstraction jump
colon_cancer -> carcinoma -> cancer -> malignant_tumor -> malignancy | semantic abstraction jump
colon_cancer -> carcinoma -> cancer -> malignant_tumor -> tumor | semantic abstraction jump
colon_cancer -> cancer -> malignant_tumor -> tumor | semantic abstraction jump
colonel -> commissioned_officer -> military_officer | semantic abstraction jump
colonel -> commissioned_officer -> military_officer -> military_person | semantic abstraction jump
colonel -> commissioned_officer -> military_officer -> officer | semantic abstraction jump
colonel -> commissioned_officer -> military_officer -> serviceman | semantic abstraction jump
colonel -> commissioned_officer -> military_officer -> officer -> leader | semantic abstraction jump
colonel -> commissioned_officer -> military_officer -> military_person -> military_agent | semantic abstraction jump
colonel -> commissioned_military_officer -> commissioned_officer -> military_officer | semantic abstraction jump
colonel -> commissioned_military_officer -> commissioned_officer -> military_officer -> military_person | semantic abstraction jump
colonel -> commissioned_military_officer -> commissioned_officer -> military_officer -> officer | semantic abstraction jump
colonel -> commissioned_military_officer -> commissioned_officer -> military_officer -> serviceman | semantic abstraction jump
colonel -> commissioned_military_officer -> commissioned_officer -> military_officer -> officer -> leader | semantic abstraction jump
colonel -> commissioned_military_officer -> commissioned_officer -> military_officer -> military_person -> military_agent | semantic abstraction jump
two_spellings_of_same_word | structural violation
combination_of_black_and_white | structural violation
color_image -> imagery -> image | semantic abstraction jump
rich_deep_brown | structural violation
only_rougly | structural violation
mana_screw | structural violation
color_sergeant -> sergeant -> non_commissioned_officer -> enlisted_man | semantic abstraction jump
color_sergeant -> sergeant -> non_commissioned_officer -> military_officer | semantic abstraction jump
color_sergeant -> sergeant -> non_commissioned_officer -> military_officer -> military_person | semantic abstraction jump
color_sergeant -> sergeant -> non_commissioned_officer -> military_officer -> officer | semantic abstraction jump
color_sergeant -> sergeant -> non_commissioned_officer -> military_officer -> military_person -> military_agent | semantic abstraction jump
color_sergeant -> sergeant -> non_commissioned_officer -> enlisted_man -> enlisted_person | semantic abstraction jump
color_sergeant -> sergeant -> non_commissioned_officer -> enlisted_man -> military_person | semantic abstraction jump
color_sergeant -> sergeant -> non_commissioned_officer -> enlisted_man -> military_person -> military_agent | semantic abstraction jump
sergeant -> noncommissioned_officer -> military_officer | semantic abstraction jump
sergeant -> noncommissioned_officer -> military_officer -> military_person | semantic abstraction jump
sergeant -> noncommissioned_officer -> military_officer -> officer | semantic abstraction jump
sergeant -> noncommissioned_officer -> military_officer -> serviceman | semantic abstraction jump
sergeant -> noncommissioned_officer -> military_officer -> officer -> leader | semantic abstraction jump
